nome,mcm,seccao,diametro_condutor,raio_medio,res25cc,res2550,res2560,res50cc,res5050,res5060,corrente_maxima,
Falcon,1590,805,39.243,0.01584,0.03648,0.0366,0.0367,0.04014,0.04195,0.0425,1380,
Parrot,1510.5,765,38.252,0.01545,0.0384,0.0385,0.0386,0.04226,0.04412,0.0447,1340,
Plover,1431,725,37.211,0.01502,0.04052,0.0407,0.0407,0.04462,0.04655,0.0472,1300,
Martin,1321.5,684,36.169,0.01459,0.04294,0.0431,0.0431,0.04729,0.04922,0.0499,1250,
Pheasant,1272,644,35.102,0.01417,0.04561,0.0458,0.0458,0.05021,0.0522,0.0528,1200,
Grackle,1192.5,604,33.985,0.01371,0.04866,0.0488,0.0489,0.05357,0.0555,0.0563,1160,
Finch,1113,563,32.842,0.01325,0.05214,0.0523,0.0524,0.05742,0.0594,0.0602,1110,
Curlew,1033.5,523,31.648,0.0128,0.05612,0.0563,0.0564,0.06177,0.0637,0.0643,1060,
Cardinal,954,483,30.378,0.01228,0.06084,0.0609,61,0.06699,0.0694,0.0701,1010,
Canary,900,456,29.514,0.01191,0.06463,0.0646,0.0646,0.07116,73,0.0736,970,
Crane,874.5,443,29.108,0.01176,0.0665,0.0665,0.0671,0.07321,0.0756,0.0763,950,
Condor,795,402,27.762,0.01121,0.07271,0.0733,0.0739,0.08004,0.0843,0.0856,900,
Drake,795,402,28.143,0.01143,0.07271,0.0727,0.0727,0.08004,0.08,0.08,900,
Mallard,795,402,28.956,0.01197,0.07271,0.0727,0.0727,0.08004,0.08,0.08,910,
Crow,715.5,362,26.314,0.01063,0.08141,0.0814,82,0.08962,0.0914,0.0921,830,
Starling,715.5,362,26.695,0.01082,0.08141,0.0814,0.0814,0.08962,0.0896,0.0896,840,
Redwing,715.5,362,27.457,0.01133,0.08141,0.0814,0.0814,0.08962,0.0896,0.0896,840,
Gull,666.6,337,25.4,0.01027,0.08701,0.0876,0.0876,0.09577,0.0988,0.0995,800,
Goose,636,322,24.815,0.01002,0.09136,0.0919,0.0919,0.10055,0.1042,0.1049,770,
Grosbeak,636,322,25.146,0.01021,0.09136,0.0913,0.0913,0.10055,0.1005,0.1005,780,
Egret,636,322,25.882,0.01069,0.09136,0.0913,0.0913,0.10055,0.1005,0.1005,780,
Duck,605,306,24.206,0.00978,0.09571,0.0963,0.0963,0.10534,109,0.1103,750,
Squab,605,306,24.536,0.00996,0.09571,0.0957,0.0957,0.10565,0.1068,0.1068,760,
Dove,556.5,281,23.545,0.00954,0.10411,0.1044,0.1044,0.11491,0.1155,0.1155,730,
Eagle,556.5,281,24.206,0.00999,0.10441,0.1044,0.1044,0.11491,0.1155,0.1155,730,
Heron,500,253,22.961,0.00947,0.11622,0.1162,0.1162,0.12802,0.12802,0.12802,690,
Hawk,477,241,21.793,0.00883,0.12181,0.1218,0.1218,0.13424,0.13424,0.13424,670,
Hen,477,241,22.428,0.00926,0.12181,0.1218,0.1218,0.13424,0.13424,0.13424,670,
Ibis,397.5,201,19.888,0.00807,0.14605,0.14605,0.14605,0.16096,0.16096,0.16096,590,
Lark,397.5,201,20.472,0.00847,0.14605,0.14605,0.14605,0.16096,0.16096,0.16096,600,
Linnet,336.5,170,18.313,0.00743,0.17277,0.17277,0.17277,0.19017,0.19017,0.19017,530,
Oriole,336.4,170,18.821,0.00777,0.17277,0.17277,0.17277,0.19017,0.19017,0.19017,530,
Ostrich,300,152,17.272,0.00701,0.19328,0.19328,0.19328,0.21255,0.21255,0.21255,490,
Piper,300,152,17.78,0.00734,0.19328,0.19328,0.19328,0.21255,0.21255,0.21255,500,
Partridge,266.8,135,16.306,0.00661,0.21752,0.21752,0.21752,0.23927,0.23927,0.23927,460,
Owl,266.8,135,16.078,0.00208,0.21814,0.2181,0.2187,0.23989,0.3169,343,460,
Penguin,266.8,107,14.3,0.00248,0.27408,0.2759,0.2765,0.30142,0.3523,0.3679,340,
Pigeon,266.8,85,12.75,0.00182,0.34555,0.3474,348,0.38035,0.4331,0.4493,300,
Quail,266.8,67,11.553,0.00155,0.43629,0.4375,0.4387,0.48041,0.5382,0.5562,270,
Raven,266.8,53,10.109,0.00135,0.55002,0.5512,0.5518,0.60534,0.6712,696,230,
Robin,266.8,42.4,9.017,0.00127,0.69608,696,696,0.76444,0.8328,0.8576,200,
Sparrow,266.8,26.7,31.37,0.00127,0.87631,0.8763,0.8763,0.96332,1.0316,1.0503,180,
Swallow,266.8,26.7,31.37,0.00131,1.10627,1.1062,1.1062,1.21192,1.2678,1.2865,160,
Swan,266.8,21.1,6.35,0.00133,1.39216,1.3921,1.3921,1.5351,1.5786,1.5972,140,
Thrush,266.8,16.7,5.664,0.00126,1.75263,1.7526,1.7526,1.92675,1.9639,1.9763,120,
Turkey,266.8,13.3,5.029,0.0012,2.21245,2.2125,2.2125,2.43628,2.4673,2.4735,100,

